Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200228,S92000003,Female,"",15 to 19,"",0,0,0,0,0,0,10,7.25763139941649
20200228,S92000003,Female,"",20 to 24,"",0,0,0,0,0,0,43,25.0889783534629
20200228,S92000003,Female,"",25 to 44,"",0,0,0,0,0,0,125,17.349592909152
20200228,S92000003,Female,"",45 to 64,"",0,0,0,0,0,0,133,17.1837955515934
20200228,S92000003,Female,"",65 to 74,"",0,0,0,0,0,0,29,9.61854189538343
20200228,S92000003,Female,"",75 to 84,"",0,0,0,0,0,0,3,1.57048329005779
20200228,S92000003,Female,"",85plus,"",0,0,0,0,0,0,1,1.21663381755359
20200228,S92000003,Female,"",Total,d,0,0,0,0,0,0,378,13.4985681875887
20200228,S92000003,Male,"",15 to 19,"",0,0,0,0,0,0,8,5.54892766972783
20200228,S92000003,Male,"",20 to 24,"",0,0,0,0,0,0,23,13.0632830870242
20200228,S92000003,Male,"",25 to 44,"",0,0,0,0,0,0,141,20.051365625986602
20200228,S92000003,Male,"",45 to 64,"",1,1,0.137669178211375,0,0,0,142,19.5490233060152
20200228,S92000003,Male,"",65 to 74,"",0,0,0,0,0,0,35,12.6445543517137
20200228,S92000003,Male,"",75 to 84,"",0,0,0,0,0,0,4,2.70756900916512
20200228,S92000003,Male,"",85plus,"",0,0,0,0,0,0,0,0
20200228,S92000003,Male,"",Total,d,1,1,0.0375515911923494,0,0,0,409,15.3586007976709
20200228,S92000003,Total,d,15 to 19,"",0,0,0,0,0,0,18,6.38392952141808
20200228,S92000003,Total,d,20 to 24,"",0,0,0,0,0,0,67,19.2830171302266
20200228,S92000003,Total,d,25 to 44,"",0,0,0,0,0,0,267,18.7543198152383
20200228,S92000003,Total,d,45 to 64,"",1,1,0.0666504928137439,0,0,0,275,18.3288855237796
20200228,S92000003,Total,d,65 to 74,"",0,0,0,0,0,0,64,11.0669202835898
20200228,S92000003,Total,d,75 to 84,"",0,0,0,0,0,0,7,2.0663718642807
20200228,S92000003,Total,d,85plus,"",0,0,0,0,0,0,1,0.786862542982366
20200228,S92000003,Total,d,Total,d,1,1,0.0183039554847803,0,0,0,789,14.4418208774916
20200229,S92000003,Female,"",15 to 19,"",0,0,0,0,0,0,11,7.98339453935813
20200229,S92000003,Female,"",20 to 24,"",0,0,0,0,0,0,45,26.2559075792053
20200229,S92000003,Female,"",25 to 44,"",0,0,0,0,0,0,131,18.1823733687913
20200229,S92000003,Female,"",45 to 64,"",0,0,0,0,0,0,140,18.0882058437825
20200229,S92000003,Female,"",65 to 74,"",0,0,0,0,0,0,33,10.9452373292294
20200229,S92000003,Female,"",75 to 84,"",0,0,0,0,0,0,7,3.66446101013485
20200229,S92000003,Female,"",85plus,"",0,0,0,0,0,0,2,2.43326763510719
20200229,S92000003,Female,"",Total,d,0,0,0,0,0,0,410,14.6413041188131
20200229,S92000003,Male,"",15 to 19,"",0,0,0,0,0,0,8,5.54892766972783
20200229,S92000003,Male,"",20 to 24,"",0,0,0,0,0,0,24,13.6312519168948
20200229,S92000003,Male,"",25 to 44,"",0,0,0,0,0,0,148,21.0468234939434
20200229,S92000003,Male,"",45 to 64,"",0,1,0.137669178211375,0,0,0,155,21.338722622763
20200229,S92000003,Male,"",65 to 74,"",0,0,0,0,0,0,40,14.4509192591014
20200229,S92000003,Male,"",75 to 84,"",0,0,0,0,0,0,6,4.06135351374768
20200229,S92000003,Male,"",85plus,"",0,0,0,0,0,0,1,2.22751876684561
20200229,S92000003,Male,"",Total,d,0,1,0.0375515911923494,0,0,0,450,16.8982160365572
20200229,S92000003,Total,d,15 to 19,"",0,0,0,0,0,0,19,6.73859227260798
20200229,S92000003,Total,d,20 to 24,"",0,0,0,0,0,0,70,20.1464358076994
20200229,S92000003,Total,d,25 to 44,"",0,0,0,0,0,0,280,19.6674514916357
20200229,S92000003,Total,d,45 to 64,"",0,1,0.0666504928137439,0,0,0,295,19.6618953800544
20200229,S92000003,Total,d,65 to 74,"",0,0,0,0,0,0,73,12.6232059484697
20200229,S92000003,Total,d,75 to 84,"",0,0,0,0,0,0,13,3.83754774794986
20200229,S92000003,Total,d,85plus,"",0,0,0,0,0,0,3,2.3605876289471
20200229,S92000003,Total,d,Total,d,0,1,0.0183039554847803,0,0,0,862,15.7780096278806
20200301,S92000003,Female,"",15 to 19,"",0,0,0,0,0,0,11,7.98339453935813
20200301,S92000003,Female,"",20 to 24,"",0,0,0,0,0,0,48,28.006301417819
20200301,S92000003,Female,"",25 to 44,"",0,0,0,0,0,0,138,19.1539505717038
20200301,S92000003,Female,"",45 to 64,"",0,0,0,0,0,0,147,18.9926161359716
20200301,S92000003,Female,"",65 to 74,"",1,1,0.331673858461498,0,0,0,36,11.9402589046139
20200301,S92000003,Female,"",75 to 84,"",0,0,0,0,0,0,7,3.66446101013485
20200301,S92000003,Female,"",85plus,"",0,0,0,0,0,0,4,4.86653527021437
20200301,S92000003,Female,"",Total,d,1,1,0.0357104978507637,0,0,0,444,15.8554610457391
20200301,S92000003,Male,"",15 to 19,"",0,0,0,0,0,0,11,7.62977554587576
20200301,S92000003,Male,"",20 to 24,"",0,0,0,0,0,0,30,17.0390648961185
20200301,S92000003,Male,"",25 to 44,"",0,0,0,0,0,0,158,22.468906162453
20200301,S92000003,Male,"",45 to 64,"",1,2,0.275338356422749,0,0,0,162,22.3024068702427
20200301,S92000003,Male,"",65 to 74,"",0,0,0,0,0,0,42,15.1734652220564
20200301,S92000003,Male,"",75 to 84,"",0,0,0,0,0,0,7,4.73824576603896
20200301,S92000003,Male,"",85plus,"",0,0,0,0,0,0,2,4.45503753369122
20200301,S92000003,Male,"",Total,d,1,2,0.0751031823846988,0,0,0,496,18.6255892314053
20200301,S92000003,Total,d,15 to 19,"",0,0,0,0,0,0,22,7.80258052617766
20200301,S92000003,Total,d,20 to 24,"",0,0,0,0,0,0,79,22.7366918401179
20200301,S92000003,Total,d,25 to 44,"",0,0,0,0,0,0,297,20.8615467607707
20200301,S92000003,Total,d,45 to 64,"",1,2,0.133300985627488,0,0,0,309,20.5950022794469
20200301,S92000003,Total,d,65 to 74,"",1,1,0.172920629431091,0,0,0,78,13.4878090956251
20200301,S92000003,Total,d,75 to 84,"",0,0,0,0,0,0,14,4.13274372856139
20200301,S92000003,Total,d,85plus,"",0,0,0,0,0,0,6,4.7211752578942
20200301,S92000003,Total,d,Total,d,2,3,0.0549118664543408,0,0,0,942,17.242326066663
20200302,S92000003,Female,"",15 to 19,"",0,0,0,0,0,0,14,10.1606839591831
