Date,Country,SIMDQuintile,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200228,S92000003,1,0,0,0,0,0,0,68,6.26981792633148
20200228,S92000003,2,0,0,0,0,0,0,97,8.94591319328522
20200228,S92000003,3,0,0,0,0,0,0,152,13.9863871965667
20200228,S92000003,4,1,1,0.0912647746262023,0,0,0,212,19.3481322207549
20200228,S92000003,5,0,0,0,0,0,0,223,20.5196910820318
20200229,S92000003,1,0,0,0,0,0,0,84,7.74506920311536
20200229,S92000003,2,0,0,0,0,0,0,105,9.68372046695822
20200229,S92000003,3,0,0,0,0,0,0,161,14.8145285437318
20200229,S92000003,4,0,1,0.0912647746262023,0,0,0,231,21.0821629386527
20200229,S92000003,5,0,0,0,0,0,0,239,21.9919559130296
20200301,S92000003,1,0,0,0,0,0,0,100,9.22032047989924
20200301,S92000003,2,0,0,0,0,0,0,114,10.5137536498404
20200301,S92000003,3,1,1,0.0920157052405705,0,0,0,175,16.1027484170998
20200301,S92000003,4,0,1,0.0912647746262023,0,0,0,239,21.8122811356623
20200301,S92000003,5,1,1,0.0920165519373625,0,0,0,268,24.6604359192131
20200302,S92000003,1,0,0,0,0,0,0,147,13.5538711054519
20200302,S92000003,2,0,0,0,0,0,0,153,14.1105641089963
20200302,S92000003,3,0,1,0.0920157052405705,0,0,0,212,19.5073295110009
20200302,S92000003,4,1,2,0.182529549252405,0,0,0,275,25.0978130222056
20200302,S92000003,5,0,1,0.0920165519373625,0,0,0,324,29.8133628277054
20200303,S92000003,1,0,0,0,0,0,0,207,19.0860633933914
20200303,S92000003,2,0,0,0,0,0,0,191,17.6151486589431
20200303,S92000003,3,0,1,0.0920157052405705,0,0,0,258,23.7400519520672
20200303,S92000003,4,2,4,0.365059098504809,0,0,0,315,28.7484040072537
20200303,S92000003,5,1,2,0.184033103874725,0,0,0,365,33.5860414571373
20200304,S92000003,1,0,0,0,0,0,0,250,23.0508011997481
20200304,S92000003,2,1,1,0.0922259092091259,0,0,0,226,20.8430554812625
20200304,S92000003,3,1,2,0.184031410481141,0,0,0,297,27.3286644564494
20200304,S92000003,4,2,6,0.547588647757214,0,0,0,344,31.3950824714136
20200304,S92000003,5,2,4,0.36806620774945,0,0,0,410,37.7267862943186
20200305,S92000003,1,0,0,0,0,0,0,300,27.6609614396977
20200305,S92000003,2,1,2,0.184451818418252,0,0,0,268,24.7165436680458
20200305,S92000003,3,0,2,0.184031410481141,0,0,0,328,30.1811513189071
20200305,S92000003,4,1,7,0.638853422383416,0,0,0,378,34.4980848087045
20200305,S92000003,5,0,4,0.36806620774945,0,0,0,444,40.8553490601889
20200306,S92000003,1,0,0,0,0,0,0,343,31.6256992460544
20200306,S92000003,2,1,3,0.276677727627378,0,0,0,308,28.4055800364108
20200306,S92000003,3,0,2,0.184031410481141,0,0,0,371,34.1378266442516
20200306,S92000003,4,4,11,1.00391252088823,0,0,0,420,38.331205343005
20200306,S92000003,5,1,5,0.460082759686812,0,0,0,490,45.0881104493076
20200307,S92000003,1,0,0,0,0,0,0,365,33.6541697516322
20200307,S92000003,2,0,3,0.276677727627378,0,0,0,339,31.2645832218937
20200307,S92000003,3,1,3,0.276047115721711,0,0,0,396,36.4382192752659
20200307,S92000003,4,3,14,1.27770684476683,0,0,0,445,40.61282470866
20200307,S92000003,5,2,7,0.644115863561537,0,0,0,523,48.1246566632406
20200308,S92000003,1,0,0,0,0,0,0,395,36.420265895602
20200308,S92000003,2,0,3,0.276677727627378,0,0,0,361,33.2935532244945
20200308,S92000003,3,0,3,0.276047115721711,0,0,0,424,39.0146590220019
20200308,S92000003,4,1,15,1.36897161939303,0,0,0,468,42.7119145250627
20200308,S92000003,5,2,9,0.828148967436262,0,0,0,542,49.8729711500505
20200309,S92000003,1,1,1,0.0922032047989924,0,0,0,456,42.0446613883405
20200309,S92000003,2,1,4,0.368903636836504,0,0,0,419,38.6426559586238
20200309,S92000003,3,1,4,0.368062820962282,0,0,0,474,43.6154442840304
20200309,S92000003,4,9,24,2.19035459102886,0,0,0,534,48.735389650392
20200309,S92000003,5,3,12,1.10419862324835,0,0,0,620,57.0502622011647
20200310,S92000003,1,0,1,0.0922032047989924,0,0,0,535,49.3287145674609
20200310,S92000003,2,3,7,0.645581364463881,0,0,0,505,46.5740841506086
20200310,S92000003,3,4,8,0.736125641924564,0,0,0,549,50.5166221770732
20200310,S92000003,4,7,31,2.82920801341227,0,0,0,617,56.3103659443668
20200310,S92000003,5,7,19,1.74831448680989,0,0,0,693,63.7674704925922
20200311,S92000003,1,2,3,0.276609614396977,0,0,0,650,59.9320831193451
20200311,S92000003,2,1,8,0.737807273673008,0,0,0,597,55.0588677978482
20200311,S92000003,3,5,13,1.19620416812742,0,0,0,642,59.0740827644462
20200311,S92000003,4,7,38,3.46806143579569,0,0,0,694,63.3377535905844
20200311,S92000003,5,10,29,2.66848000618351,0,0,0,777,71.4968608553307
20200312,S92000003,1,6,9,0.829828843190932,1,1,0.0922032047989924,789,72.748328586405
20200312,S92000003,2,3,11,1.01448500130039,0,0,0,708,65.2959437200612
20200312,S92000003,3,8,21,1.93232981005198,0,0,0,747,68.7357318147061
20200312,S92000003,4,5,43,3.9243853089267,0,0,0,795,72.5554958278308
20200312,S92000003,5,16,45,4.14074483718131,0,0,0,895,82.3548139839394
20200313,S92000003,1,7,16,1.47525127678388,0,1,0.0922032047989924,925,85.287964439068
20200313,S92000003,2,3,14,1.29116272892776,0,0,0,820,75.6252455514833
20200313,S92000003,3,10,31,2.85248686245768,0,0,0,857,78.8574593911689
20200313,S92000003,4,14,57,5.20209215369353,0,0,0,897,81.8645028397035
20200313,S92000003,5,13,58,5.33696001236702,0,0,0,1010,92.9367174567361
20200314,S92000003,1,5,21,1.93626730077884,1,2,0.184406409597985,1033,95.2459105573592
20200314,S92000003,2,5,19,1.75229227497339,0,0,0,897,82.726640560586
20200314,S92000003,3,2,33,3.03651827293883,0,0,0,924,85.0225116422871
20200314,S92000003,4,6,63,5.74968080145074,1,1,0.0912647746262023,955,87.1578597680232
20200314,S92000003,5,1,59,5.42897656430439,0,0,0,1055,97.0774622939174
20200315,S92000003,1,2,23,2.12067371037683,0,2,0.184406409597985,1131,104.28182462766
20200315,S92000003,2,2,21,1.93674409339164,0,0,0,958,88.3524210223426
20200315,S92000003,3,3,36,3.31256538866054,0,0,0,976,89.8073283147968
20200315,S92000003,4,0,63,5.74968080145074,0,1,0.0912647746262023,999,91.1735098515761
20200315,S92000003,5,5,64,5.8890593239912,0,0,0,1093,100.574091267537
20200316,S92000003,1,4,27,2.48948652957279,0,2,0.184406409597985,1285,118.481118166705
20200316,S92000003,2,3,24,2.21342182101902,0,0,0,1062,97.9439155800917
20200316,S92000003,3,6,42,3.86465962010396,1,1,0.0920157052405705,1078,99.1929302493349
20200316,S92000003,4,3,66,6.02347512532935,0,1,0.0912647746262023,1085,99.0222804694295
20200316,S92000003,5,5,69,6.34914208367801,0,0,0,1176,108.211465078338
20200317,S92000003,1,11,38,3.50372178236171,0,2,0.184406409597985,1438,132.588208500951
20200317,S92000003,2,8,32,2.95122909469203,1,1,0.0922259092091259,1181,108.918798775978
20200317,S92000003,3,5,47,4.32473814630681,0,1,0.0920157052405705,1186,109.130626415317
20200317,S92000003,4,6,72,6.57106377308657,0,1,0.0912647746262023,1189,108.513817030555
20200317,S92000003,5,13,82,7.54535725886372,1,1,0.0920165519373625,1291,118.793368551135
20200318,S92000003,1,10,48,4.42575383035163,0,2,0.184406409597985,1567,144.482421920021
20200318,S92000003,2,5,37,3.41235864073766,0,1,0.0922259092091259,1304,120.2625856087
20200318,S92000003,3,5,52,4.78481667250966,0,1,0.0920157052405705,1293,118.976306876058
20200318,S92000003,4,10,82,7.48371151934859,0,1,0.0912647746262023,1284,117.183970620044
20200318,S92000003,5,11,93,8.55753933017471,0,1,0.0920165519373625,1407,129.467288575869
20200319,S92000003,1,12,60,5.53219228793954,1,3,0.276609614396977,1699,156.653244953488
20200319,S92000003,2,8,45,4.15016591441067,1,2,0.184451818418252,1445,133.266438807187
20200319,S92000003,3,10,62,5.70497372491537,0,1,0.0920157052405705,1437,132.2265684307
20200319,S92000003,4,9,91,8.30509449098441,0,1,0.0912647746262023,1400,127.770684476683
20200319,S92000003,5,9,102,9.38568829761097,1,2,0.184033103874725,1517,139.589109288979
20200320,S92000003,1,10,70,6.45422433592947,3,6,0.553219228793954,1813,167.164410300573
20200320,S92000003,2,13,58,5.3491027341293,1,3,0.276677727627378,1559,143.780192457027
20200320,S92000003,3,20,82,7.54528782972678,0,1,0.0920157052405705,1571,144.556672932936
20200320,S92000003,4,19,110,10.0391252088823,1,2,0.182529549252405,1531,139.726369952716
20200320,S92000003,5,20,122,11.2260193363582,0,2,0.184033103874725,1636,150.539078969525
20200321,S92000003,1,5,75,6.91524035992443,2,8,0.737625638391939,1921,177.122356418864
20200321,S92000003,2,15,73,6.73249137226619,1,4,0.368903636836504,1653,152.449427922685
20200321,S92000003,3,17,99,9.10955481881648,1,2,0.184031410481141,1655,152.285992173144
20200321,S92000003,4,10,120,10.9517729551443,1,3,0.273794323878607,1622,148.0314644437
20200321,S92000003,5,19,141,12.9743338231681,1,3,0.276049655812087,1719,158.176452780326
20200322,S92000003,1,9,84,7.74506920311536,0,8,0.737625638391939,2013,185.605051260372
